Nome_Perfil|LLM|Embedding_Model|Dim_Value|Chunk_Size|Overlap|Top_K|Timestamp|Prompt_technique|Pergunta|Resposta|Contexto_Usado|Tempo_Segundos|Acuracia
Perfil_1|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|3|2026-01-27 20:12:13|zero-shot|Qual o e-mail do Serviço de Atendimento ao Servidor – SAS/DAP?|--- CONTEXTO --- Service de Atendimento ao Servidor SAS/DAP - (62) 3521 -1034 (whatsapp) ou 3521 -1301 - atendimento.dap@ufg.br Documentos/Formulários e Orientaçes para Admisso Documentos/Formulários e Orientaçes para Admisso (LEIA COM ATENO!) Enviar o mais breve, SOMENTE a partir do recebimento da CONVOCAO/CHAMAMENTO, para o Serviço de Atendimento ao Servidor - SAS/DAP , exclusivamente por e-mail: atendimento.dap@ufg.br , toda documentaço e formulários exigidos (item 1 abaixo ), COM EXCEO do Atestado de Sade Ocupacional(ASO) e da EX: Fulano de Tal/Assistente en Administraço/Documentos para Contrataço (b) DIGITALIZAR as vias originais dos documentos/formulários, que constam rela|Serviço de Atendimento ao Servidor SAS/DAP - (62) 3521 -1034 (whatsapp) ou 3521 -1301 -  •> atendimento.dap@ufg.br •>  •> Documentos/Formulários e Orientações para Admissão   •> Documentos/Formulários e Orientações para Admissão (LEIA COM ATENÇÃO!)    •>   •>    •> Enviar o mais breve possível, SOMENTE  a partir do recebimento da  •> CONVOCAÇÃO/CHAMAMENTO, para o Serviço de Atendimento ao Servidor - SAS/DAP ,  •> exclusivamente  pelo e -mail: atendimento.dap@ufg.br , toda a documentação e formulários  •> exigidos (item 1 abaixo ), COM EXCEÇÃO do Atestado de Saúde Ocupacional(ASO) e da •>  •> EX: Fulano de Tal/Assistente em Administração/Documentos para Contratação   •> b) DIGITALIZAR  as vias originais dos documentos/formulários, que constam relacionados  •> abaixo, salvar no formato PDF, um arquivo por cada documento  e anexar todos os  •> documentos no e -mail.   •> c) Indicar no corpo do e -mail sugestão de agendamento de dia e horário para comparecer  •> presencialmente para apresentação dos documentos e efetivação da contratação/posse. No|187.44|70.07814
Perfil_1|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|3|2026-01-27 20:13:30|zero-shot|Quais orientações para envio do e-mail?|Enviar o melhor possvel, SOMETHAN a partir de recebimento da CONVOCAO/CHAMAMENTO, para o Serviço de Atendimento ao Servidor - SAS/DAP , exclusivamente por e-mail: atendimento.da|EX: Fulano de Tal/Assistente em Administração/Documentos para Contratação   •> b) DIGITALIZAR  as vias originais dos documentos/formulários, que constam relacionados  •> abaixo, salvar no formato PDF, um arquivo por cada documento  e anexar todos os  •> documentos no e -mail.   •> c) Indicar no corpo do e -mail sugestão de agendamento de dia e horário para comparecer  •> presencialmente para apresentação dos documentos e efetivação da contratação/posse. No •>  •> Documentos/Formulários e Orientações para Admissão   •> Documentos/Formulários e Orientações para Admissão (LEIA COM ATENÇÃO!)    •>   •>    •> Enviar o mais breve possível, SOMENTE  a partir do recebimento da  •> CONVOCAÇÃO/CHAMAMENTO, para o Serviço de Atendimento ao Servidor - SAS/DAP ,  •> exclusivamente  pelo e -mail: atendimento.dap@ufg.br , toda a documentação e formulários  •> exigidos (item 1 abaixo ), COM EXCEÇÃO do Atestado de Saúde Ocupacional(ASO) e da •>  •> caso de convocados para cargos efetivos , o agendamento para entrega da documentação e  •> efetivação da POSSE  deve ser feito para data a partir da publicação da portaria de nomeação  •> no Diário Oficial da União .  •> Em caso de CHAMAMENTO , enviar os documentos de imediato  por e -mail para conferência  •> prévia e aguardar a publicação oficial da PORTARIA DE NOMEAÇÃO  no Diário Oficial da União,  •> para poder solicitar o agendamento da entrega presencial dos documentos e efetivação da|6.51|79.930565
Perfil_1|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|3|2026-01-27 20:13:52|zero-shot|Quais os documentos exigidos?|EXERCCIO: Presidencia de apresentaço do documento|EX: Fulano de Tal/Assistente em Administração/Documentos para Contratação   •> b) DIGITALIZAR  as vias originais dos documentos/formulários, que constam relacionados  •> abaixo, salvar no formato PDF, um arquivo por cada documento  e anexar todos os  •> documentos no e -mail.   •> c) Indicar no corpo do e -mail sugestão de agendamento de dia e horário para comparecer  •> presencialmente para apresentação dos documentos e efetivação da contratação/posse. No •>  •> cópias) de todos os documentos/formulários exigidos e efetivar o ATO D E CONTRATAÇÃO, no  •> dia e horário agendado, no Serviço de Atendimento ao Servidor - SAS/DAP , no térreo do Prédio  •> da Reitoria – Campus II. Avenida Esperança s/n.   •> EXERCÍCIO:  Após a entrega presencial da documentação, será iniciado o processo de emissão  •> de portaria de contratação. O VÍNCULO DE CONTRATO TEMPORÁRIO INICIARÁ SOMENTE  •> APÓS A PUBLICAÇÃO DA PORTARIA DE CONTRATAÇÃO NO DIÁRIO OFICIAL DA UNIÃO  e, •>  •> realizada na data agendada).   •> e) O envio dos documentos e formulários por e -mail trata -se apenas de uma conferência  •> prévia, na data agendada para posse/contratação o candidato deve OBRIGATORIAMENTE   •> comparecer com todas as vias originais e cópias simples dos documentos exigidos para  •> admissão.   •> 1 - Documentos Exigidos:    •> • Uma Fotografia 3x4 (recente);   •> • Original e 01 (uma) Cópia legível do  Diploma correspondente à titulação exigida no  •> edital, acompanhado do Histórico Escolar.|2.23|72.80732
Perfil_1|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|3|2026-01-27 20:14:16|zero-shot|Quais os formulários exigidos?|- (contido na Carteira de Trabalho), caso possua. Ou procurar a Caixa/Banco de Brasil para emisso do Extrato de PIS/PASEP; • Comprov|Documentos/Formulários e Orientações para Admissão   •> Documentos/Formulários e Orientações para Admissão (LEIA COM ATENÇÃO!)    •>   •>    •> Enviar o mais breve possível, SOMENTE  a partir do recebimento da  •> CONVOCAÇÃO/CHAMAMENTO, para o Serviço de Atendimento ao Servidor - SAS/DAP ,  •> exclusivamente  pelo e -mail: atendimento.dap@ufg.br , toda a documentação e formulários  •> exigidos (item 1 abaixo ), COM EXCEÇÃO do Atestado de Saúde Ocupacional(ASO) e da •>  •> POSSE . Considerar o horário entre  09h e 16h , de segunda a sexta, para agendamento. •>  •> • Comprovante de inscrição no PIS/PASEP  - (contido na Carteira de Trabalho),  •> caso possua. Ou procurar a Caixa/Banco do Brasil para emissão do Extrato do  •> PIS/PASEP;   •> • Comprovante de Registro e Regularidade no Conselho de Classe, quando  •> exigido no Edital;   •> • Atestado de Saúde Ocupacional* (A.S.O.)  emitido pela Perícia Médica do  •> SIASS/DASS UFG. ORIGINAL - informações detalhadas logo abaixo;   •> • Carteira de Registro Nacional Migratório - CRNM ; Apenas para Estrangeiros|5.75|70.8721
Perfil_1|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|3|2026-01-27 20:15:03|zero-shot|Quais orientações para Cargos Temporários: Professor Substituto/Visitante ou Profissional Especializado?|We will continue to publish the portaria on the portal of the Imprensa National: http://portal.imprensanacional.gov.br or on the PróPessoas website: https://propessoas.ufg.br.|receberá o original do Atestado de Saúde Ocupacional (ASO) que deverá ser apresentado no  •> ato da posse/contratação.    •> Orientações Gerais ao Candidato (a) sobre o Fluxo dos Procedimentos Admissionais   •> Para Cargos Temporários: Professor Substituto/Visitante ou Profissional Especializado;    •> Após receber a confirmação da conferência dos documentos/formulários e do agendamento, o  •> (a) candidato (a) deverá comparecer presencialmente para apresentar as vias físicas (originais e •>  •> somente a partir desta data, o (a) professor(a)/profissional poderá comparecer à sua Unidade  •> de Lotação para iniciar suas atividades. Sugerimos acompanhar a publicação da portaria pelo  •> portal da Imprensa Nacional: http://portal.imprensanacional.gov.br  ou no site da PróPessoas:  •> https://propessoas.ufg.br/ , ou ainda, junto à Unidade Acadêmica.     •> Para Cargos Efetivos de Técnicos Administrativos e Docentes   •> Após receber a confirmação da conferência dos documentos/formulários, o (a) candidato (a) •>  •> mediante agendamento , para apresentar as vias físicas (originais e cópias) de todos os  •> documentos/formulários e efetivar o ATO DE POSSE no Serviço de Atendimento ao Servidor - •> SAS/DAP , no térreo do Prédio da Reitoria – Campus II. Avenida Esperança s/n.   •> EXERCÍCIO : Somente no ato da efetivação da posse, o candidato será informado sobre sua  •> Unidade/Órgão de trabalho e terá 15 (quinze) dias corridos para entrar em exercício no cargo.|17.02|60.856808
Perfil_3|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|2|2026-01-27 21:19:11|chain-of-thought|Qual o e-mail do Serviço de Atendimento ao Servidor – SAS/DAP?|Você é o assistente virtual da Secretaria da UFG. Sua tarefa é responder perguntas acadêmicas basando-se estratégiamente no CONTEXTO fornecido.|Serviço de Atendimento ao Servidor SAS/DAP - (62) 3521 -1034 (whatsapp) ou 3521 -1301 -  •> atendimento.dap@ufg.br •>  •> Documentos/Formulários e Orientações para Admissão   •> Documentos/Formulários e Orientações para Admissão (LEIA COM ATENÇÃO!)    •>   •>    •> Enviar o mais breve possível, SOMENTE  a partir do recebimento da  •> CONVOCAÇÃO/CHAMAMENTO, para o Serviço de Atendimento ao Servidor - SAS/DAP ,  •> exclusivamente  pelo e -mail: atendimento.dap@ufg.br , toda a documentação e formulários  •> exigidos (item 1 abaixo ), COM EXCEÇÃO do Atestado de Saúde Ocupacional(ASO) e da|5.44|70.51614
Perfil_3|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|2|2026-01-27 21:19:38|chain-of-thought|Quais orientações para envio do e-mail?|b) DIGITALIZAR as vias originais dos documentos/formulários, que consisten relacionados, salvar no formato PDF, um arquivo por cada documento e anexar todos os documentos no e-mail. c) Indicar no corpo de a empresa|EX: Fulano de Tal/Assistente em Administração/Documentos para Contratação   •> b) DIGITALIZAR  as vias originais dos documentos/formulários, que constam relacionados  •> abaixo, salvar no formato PDF, um arquivo por cada documento  e anexar todos os  •> documentos no e -mail.   •> c) Indicar no corpo do e -mail sugestão de agendamento de dia e horário para comparecer  •> presencialmente para apresentação dos documentos e efetivação da contratação/posse. No •>  •> Documentos/Formulários e Orientações para Admissão   •> Documentos/Formulários e Orientações para Admissão (LEIA COM ATENÇÃO!)    •>   •>    •> Enviar o mais breve possível, SOMENTE  a partir do recebimento da  •> CONVOCAÇÃO/CHAMAMENTO, para o Serviço de Atendimento ao Servidor - SAS/DAP ,  •> exclusivamente  pelo e -mail: atendimento.dap@ufg.br , toda a documentação e formulários  •> exigidos (item 1 abaixo ), COM EXCEÇÃO do Atestado de Saúde Ocupacional(ASO) e da|7.54|87.125885
Perfil_3|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|2|2026-01-27 21:20:31|chain-of-thought|Quais os documentos exigidos?|b) DIGITALIZAR as vias originais dos documentos/formulários, que consisten relacionados, salvar no formato PDF, um arquivo por cada documento e anexar todos os documentos no e-mail. c) Indicar no corpo de a empresa|EX: Fulano de Tal/Assistente em Administração/Documentos para Contratação   •> b) DIGITALIZAR  as vias originais dos documentos/formulários, que constam relacionados  •> abaixo, salvar no formato PDF, um arquivo por cada documento  e anexar todos os  •> documentos no e -mail.   •> c) Indicar no corpo do e -mail sugestão de agendamento de dia e horário para comparecer  •> presencialmente para apresentação dos documentos e efetivação da contratação/posse. No •>  •> cópias) de todos os documentos/formulários exigidos e efetivar o ATO D E CONTRATAÇÃO, no  •> dia e horário agendado, no Serviço de Atendimento ao Servidor - SAS/DAP , no térreo do Prédio  •> da Reitoria – Campus II. Avenida Esperança s/n.   •> EXERCÍCIO:  Após a entrega presencial da documentação, será iniciado o processo de emissão  •> de portaria de contratação. O VÍNCULO DE CONTRATO TEMPORÁRIO INICIARÁ SOMENTE  •> APÓS A PUBLICAÇÃO DA PORTARIA DE CONTRATAÇÃO NO DIÁRIO OFICIAL DA UNIÃO  e,|7.02|73.56035
Perfil_3|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|2|2026-01-27 21:21:34|chain-of-thought|Quais os formulários exigidos?|                                                                                                                                                                                                                                                         |Documentos/Formulários e Orientações para Admissão   •> Documentos/Formulários e Orientações para Admissão (LEIA COM ATENÇÃO!)    •>   •>    •> Enviar o mais breve possível, SOMENTE  a partir do recebimento da  •> CONVOCAÇÃO/CHAMAMENTO, para o Serviço de Atendimento ao Servidor - SAS/DAP ,  •> exclusivamente  pelo e -mail: atendimento.dap@ufg.br , toda a documentação e formulários  •> exigidos (item 1 abaixo ), COM EXCEÇÃO do Atestado de Saúde Ocupacional(ASO) e da •>  •> POSSE . Considerar o horário entre  09h e 16h , de segunda a sexta, para agendamento.|36.66|51.727325
Perfil_3|google/flan-t5-base|sentence-transformers/all-MiniLM-L6-v2|384|512|64|2|2026-01-27 21:21:49|chain-of-thought|Como obter o Atestado de Saúde Ocupacional?|a) on the Fluxo of Admissions Procedures for Temporary Cargos: Professor Substituto/Visitante or Profissional Especializado; Após recei|receberá o original do Atestado de Saúde Ocupacional (ASO) que deverá ser apresentado no  •> ato da posse/contratação.    •> Orientações Gerais ao Candidato (a) sobre o Fluxo dos Procedimentos Admissionais   •> Para Cargos Temporários: Professor Substituto/Visitante ou Profissional Especializado;    •> Após receber a confirmação da conferência dos documentos/formulários e do agendamento, o  •> (a) candidato (a) deverá comparecer presencialmente para apresentar as vias físicas (originais e •>  •> a assinatura digital dos documentos, siga os passos descritos no tutorial  AQUI .   •> 3 - Atestado de Saúde Ocupacional:    •> Para obter o Atestado de Saúde Ocupacional (ASO)  é necessário realizar os exames médicos  •> de acordo com a lista descrita na  "RELAÇÃO DE EXAMES OBRIGATÓRIOS" através do  •> link:  AQUI.  A realização dos exames é de responsabilidade dos próprios candidatos  •> classificados, podendo para isso utilizar os locais de sua preferência. Após a realização dos|4.12|66.79728
